Feeling,Warmth
Happy,Warmth
Organic,Warmth
Compassionate,Warmth
Sociable,Warmth
Emotional,Warmth
Knowledgeable,Competence
Interactive,Competence
Responsive,Competence
Capable,Competence
Competent,Competence
Reliable,Competence
Aggressive,Discomfort
Awful,Discomfort
Scary,Discomfort
Awkward,Discomfort
Dangerous,Discomfort
Strange,Discomfort
